text,text2,mood,energy
I'm feeling really happy today, the sun is shining and everything is going well!,Happy,High
Just got some great news, I'm ecstatic and full of energy!,Happy,High
Enjoying a calm evening at home, feeling peaceful.,Happy,Medium
Had a fantastic workout, I feel so alive and ready for anything.,Happy,High
Spending time with friends, feeling lighthearted and joyful.,Happy,Medium
So excited for the weekend! Can't wait to relax.,Happy,Medium
Woke up feeling refreshed and optimistic.,Happy,High
Feeling good, just taking it easy.,Happy,Low
This movie made me so happy, I'm giggling like a child.,Happy,High
A quiet moment of contentment, just enjoying the silence.,Happy,Low
Feeling quite sad after watching that movie, it was a real tear-jerker.,Sad,Low
I'm so down today, nothing seems to be going right.,Sad,Low
Feeling melancholic, just want to be alone.,Sad,Low
Lost a loved one, feeling immense grief and emptiness.,Sad,Very Low
Just tired of everything, wish I could just disappear.,Sad,Very Low
Feeling a bit gloomy, perhaps the weather is getting to me.,Sad,Medium
Had a rough day at work, feeling drained.,Sad,Low
Missing my family a lot today, feeling a bit homesick.,Sad,Low
The news was quite depressing, feeling disheartened.,Sad,Medium
Feeling a sense of quiet despair, but trying to hold on.,Sad,Low
I'm absolutely furious right now, can't believe what just happened!,Angry,High
This is so frustrating, I could just scream!,Angry,High
Feeling irritated by all the noise around me.,Angry,Medium
Someone cut me off in traffic, I'm so mad!,Angry,High
Can't stand this situation anymore, my blood is boiling.,Angry,High
Feeling resentful about past events, it's eating me up.,Angry,Medium
The injustice of it all makes me so angry.,Angry,High
Having a heated discussion, feeling very argumentative.,Angry,High
This constant delay is making me cross.,Angry,Medium
Feeling a low rumble of anger, just trying to keep it together.,Angry,Low
Just feeling okay, nothing special happening.,Neutral,Medium
Routine day, not much to report.,Neutral,Medium
Sitting and observing, no particular emotion.,Neutral,Low
Working on a task, purely focused.,Neutral,Medium
Just finished my meal, feeling content and full.,Neutral,Low
Waiting for the bus, just passing time.,Neutral,Low
Reading a book, absorbed in the story but not emotional.,Neutral,Medium
Listening to some background music, just chilling.,Neutral,Low
Attending a meeting, taking notes.,Neutral,Medium
Just existing, no strong feelings either way.,Neutral,Low
Feeling anxious about the upcoming presentation, my heart is racing.,Anxious,High
